pkg,missing_from,found_in
luasec,luarocks,vcpkg
lua,luarocks,cargo
lua,luarocks,chromebrew
lua,luarocks,conan
lua,luarocks,homebrew
lua,luarocks,nimble
lua,luarocks,vcpkg
luasocket,luarocks,vcpkg
inspect,luarocks,cargo
argparse,luarocks,cargo
argparse,luarocks,conan
argparse,luarocks,nimble
argparse,luarocks,vcpkg
luasocket,luarocks,vcpkg
luafilesystem,luarocks,vcpkg
luasec,luarocks,vcpkg
flu,luarocks,cargo
cosmo,luarocks,cargo
snappy,nimble,cargo
snappy,nimble,chromebrew
snappy,nimble,conan
snappy,nimble,homebrew
snappy,nimble,vcpkg
c,nimble,cargo
nim,nimble,chromebrew
nim,nimble,homebrew
b,nimble,cargo
bipbuffer,nimble,cargo
d,nimble,cargo
dependency,nimble,cargo
strings,nimble,cargo
graphics/openjpeg,openbsd,freebsd11
graphics/openjpeg,openbsd,netbsd9
